                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1926,                 3.1921,                 1.3903,                0.00739,                      1,                0.40729,                0.24541,                 1.0321,                 3.1575,                 1.3762,              0.0001375,              0.0001375,              0.0001375
                      2,                 1.1395,                  2.533,                 1.3322,                0.01146,                      1,                0.62713,                0.36261,                0.95176,                 2.7786,                 1.3555,             0.00028693,             0.00028693,             0.00028693
                      3,                 1.1148,                 2.0922,                  1.331,                0.42675,                0.71512,                0.63114,                0.41435,                 1.1199,                 1.9443,                 1.5581,             0.00043577,             0.00043577,             0.00043577
                      4,                 1.0939,                 1.9137,                 1.3057,                0.44662,                 0.6125,                0.63077,                0.43024,                 1.1013,                  1.893,                 1.5253,             0.00058401,             0.00058401,             0.00058401
                      5,                 1.0487,                 1.8225,                 1.3169,                0.45377,                0.55009,                0.59804,                0.38273,                 1.1024,                 1.9369,                 1.5076,             0.00073166,             0.00073166,             0.00073166
                      6,                 1.0579,                 1.7365,                 1.3121,                0.51838,                0.57679,                 0.6124,                0.30335,                 1.5464,                 2.0541,                 1.9192,             0.00087871,             0.00087871,             0.00087871
                      7,                 1.0673,                 1.6684,                 1.2961,                0.70327,                 0.3923,                 0.5754,                 0.3045,                  1.338,                 1.7994,                 1.7371,              0.0010252,              0.0010252,              0.0010252
                      8,                 1.0952,                 1.6475,                 1.3393,                0.38832,                0.58188,                0.45457,                0.22561,                 1.5691,                 1.9388,                 1.9825,               0.001171,               0.001171,               0.001171
                      9,                 1.0133,                 1.4822,                 1.2611,                0.54011,                 0.3937,                0.39537,                0.20745,                 1.6158,                  2.723,                 1.9122,              0.0012302,              0.0012302,              0.0012302
                     10,                 1.0309,                  1.476,                 1.2542,                0.51419,                0.32555,                0.55218,                0.31226,                 1.3333,                  2.314,                 1.6449,              0.0012277,              0.0012277,              0.0012277
                     11,                 1.0587,                 1.4427,                 1.2743,                0.48985,                0.59674,                0.61748,                0.34048,                 1.4446,                 1.8079,                 1.8072,              0.0012252,              0.0012252,              0.0012252
                     12,                 1.0041,                   1.37,                 1.2312,                0.46805,                0.51311,                 0.5012,                0.24758,                 1.5961,                 2.1828,                 1.8477,              0.0012228,              0.0012228,              0.0012228
                     13,                   1.08,                 1.3872,                 1.2741,                0.46601,                0.57345,                0.48468,                0.28321,                 1.3969,                 1.9402,                 1.7629,              0.0012203,              0.0012203,              0.0012203
                     14,                  1.004,                 1.3319,                  1.232,                0.68987,                0.65966,                0.61954,                 0.3642,                 1.2425,                 1.6934,                 1.5969,              0.0012178,              0.0012178,              0.0012178
                     15,                 1.0028,                 1.3137,                 1.2243,                0.56552,                 0.6087,                 0.5844,                0.31577,                 1.3602,                 1.9647,                  1.674,              0.0012154,              0.0012154,              0.0012154
                     16,                0.98756,                 1.2706,                 1.2171,                0.54556,                0.52666,                 0.5191,                0.25073,                 1.7466,                 1.7027,                 2.0251,              0.0012129,              0.0012129,              0.0012129
                     17,                0.97131,                 1.2063,                  1.207,                0.57278,                    0.5,                0.49764,                0.26217,                 1.5933,                 2.0817,                 1.8346,              0.0012104,              0.0012104,              0.0012104
                     18,                0.94155,                 1.1435,                 1.1789,                0.57463,                0.72802,                0.69971,                0.37609,                 1.5224,                 1.6716,                 1.9075,              0.0012079,              0.0012079,              0.0012079
                     19,                0.94467,                 1.1149,                 1.1787,                0.63575,                0.76406,                0.70478,                0.38555,                 1.4363,                 1.8645,                 1.8666,              0.0012055,              0.0012055,              0.0012055
                     20,                0.99038,                 1.1748,                 1.2307,                0.67847,                0.66429,                0.63686,                0.32225,                 1.5407,                  1.768,                 1.8991,               0.001203,               0.001203,               0.001203
                     21,                0.95357,                 1.0797,                 1.1978,                    0.5,                0.61429,                 0.6004,                0.35001,                 1.4298,                 1.6213,                 1.8292,              0.0012005,              0.0012005,              0.0012005
                     22,                0.89238,                 1.0588,                 1.1728,                0.59022,                0.52587,                0.72226,                0.40336,                 1.3759,                 1.5208,                 1.7072,               0.001198,               0.001198,               0.001198
                     23,                0.92701,                 1.1092,                 1.1941,                0.64102,                0.70179,                0.77449,                0.43934,                 1.4286,                 1.5304,                 1.7048,              0.0011955,              0.0011955,              0.0011955
                     24,                0.91223,                 1.0216,                 1.1557,                 0.6094,                0.70017,                0.70744,                0.36063,                 1.4622,                 1.6819,                 1.8322,              0.0011931,              0.0011931,              0.0011931
                     25,                0.91758,                 1.0303,                 1.1767,                0.60957,                0.76249,                0.69155,                0.40069,                 1.4531,                  1.962,                 1.9045,              0.0011906,              0.0011906,              0.0011906
                     26,                0.86587,                 1.0104,                 1.1542,                0.59088,                0.68687,                0.64616,                 0.3444,                 1.4884,                 1.4602,                 1.8335,              0.0011881,              0.0011881,              0.0011881
                     27,                0.87897,                 1.0408,                 1.1572,                 0.5433,                0.64419,                0.60843,                0.31324,                 1.5968,                 1.5923,                 1.9913,              0.0011856,              0.0011856,              0.0011856
                     28,                0.88173,                0.97384,                 1.1437,                  0.816,                0.73624,                0.81922,                0.52163,                 1.3307,                 1.2065,                 1.7086,              0.0011832,              0.0011832,              0.0011832
                     29,                0.89217,                 1.0037,                 1.1523,                0.78597,                0.58382,                0.67074,                0.38731,                  1.378,                 1.4731,                 1.6526,              0.0011807,              0.0011807,              0.0011807
                     30,                0.87054,                0.97351,                 1.1535,                0.54403,                  0.742,                0.69853,                0.38799,                 1.4382,                 1.6403,                 1.7385,              0.0011782,              0.0011782,              0.0011782
                     31,                0.87176,                 0.9552,                 1.1479,                0.72755,                0.90365,                0.84299,                 0.5207,                 1.2906,                 1.1475,                 1.6587,              0.0011757,              0.0011757,              0.0011757
                     32,                0.82505,                0.90179,                 1.1012,                0.68178,                0.80357,                0.77421,                0.46429,                 1.2882,                  1.235,                 1.6931,              0.0011733,              0.0011733,              0.0011733
                     33,                0.86695,                0.90822,                 1.1521,                0.54599,                0.78483,                0.76649,                0.47844,                 1.3129,                 1.3274,                 1.6132,              0.0011708,              0.0011708,              0.0011708
                     34,                0.84962,                0.90175,                 1.1115,                0.60633,                0.83306,                0.71361,                 0.4103,                 1.4465,                 1.4621,                 1.6521,              0.0011683,              0.0011683,              0.0011683
                     35,                0.84489,                0.90673,                 1.1375,                0.63143,                0.78241,                0.71515,                0.44539,                 1.2947,                 1.3359,                 1.6224,              0.0011658,              0.0011658,              0.0011658
                     36,                   0.85,                0.92764,                  1.144,                0.76128,                 0.7398,                0.78678,                0.43855,                 1.6152,                 1.4985,                 1.8177,              0.0011634,              0.0011634,              0.0011634
                     37,                0.82929,                0.87937,                 1.1119,                0.74175,                0.72679,                0.71882,                0.41847,                 1.4288,                 1.3317,                 1.7333,              0.0011609,              0.0011609,              0.0011609
                     38,                0.86087,                0.88863,                 1.1354,                0.72166,                0.67037,                0.83124,                0.39475,                 1.6903,                   1.35,                 1.9364,              0.0011584,              0.0011584,              0.0011584
                     39,                 0.8486,                0.90319,                  1.132,                0.48588,                0.73518,                 0.7439,                0.36137,                   1.76,                 1.4665,                  1.964,              0.0011559,              0.0011559,              0.0011559
                     40,                0.81659,                 0.8328,                 1.1042,                0.69074,                  0.625,                0.66561,                0.32884,                 1.6609,                 1.7961,                 1.8753,              0.0011535,              0.0011535,              0.0011535
                     41,                 0.8114,                0.84514,                 1.1187,                0.81995,                 0.7129,                0.81008,                0.44499,                 1.4973,                 1.2964,                 1.7579,               0.001151,               0.001151,               0.001151
                     42,                0.84394,                0.84687,                 1.1343,                0.71145,                0.77237,                0.86355,                0.47958,                 1.4195,                 1.1557,                 1.7782,              0.0011485,              0.0011485,              0.0011485
                     43,                0.78805,                0.81102,                 1.0846,                0.70452,                0.82653,                 0.8258,                0.43829,                   1.43,                 1.1782,                  1.764,              0.0011461,              0.0011461,              0.0011461
                     44,                0.76015,                0.79217,                  1.075,                0.63214,                0.85606,                0.80168,                0.42293,                 1.5269,                 1.0855,                 1.8975,              0.0011436,              0.0011436,              0.0011436
                     45,                0.78574,                0.76155,                 1.0872,                 0.8085,                 0.7746,                0.81593,                0.44283,                 1.4684,                 1.1186,                 1.8473,              0.0011411,              0.0011411,              0.0011411
                     46,                0.78564,                0.75509,                  1.108,                0.66248,                 0.7375,                0.71913,                0.39734,                 1.5224,                 1.2809,                 1.8352,              0.0011386,              0.0011386,              0.0011386
                     47,                0.79848,                0.80896,                 1.0879,                0.69262,                 0.6896,                0.68707,                0.42821,                 1.3771,                 1.1877,                 1.7549,              0.0011362,              0.0011362,              0.0011362
                     48,                0.80661,                0.81571,                 1.1078,                0.66418,                0.64741,                0.63481,                0.40804,                 1.2651,                 1.5301,                 1.6723,              0.0011337,              0.0011337,              0.0011337
                     49,                 0.7491,                 0.7732,                 1.0793,                0.54939,                0.77573,                 0.7076,                0.41194,                 1.4388,                 1.4847,                 1.8148,              0.0011312,              0.0011312,              0.0011312
                     50,                0.74716,                0.75077,                 1.0794,                0.75231,                0.78954,                0.83046,                0.49184,                  1.368,                 1.1931,                 1.7567,              0.0011287,              0.0011287,              0.0011287
                     51,                0.78514,                 0.7668,                 1.0904,                0.77023,                0.63419,                0.75857,                0.45676,                 1.3535,                 1.0873,                 1.7745,              0.0011263,              0.0011263,              0.0011263
                     52,                0.78217,                0.78232,                  1.101,                0.80088,                0.85357,                0.85787,                0.53175,                 1.1998,                 0.9062,                 1.6238,              0.0011238,              0.0011238,              0.0011238
                     53,                0.75919,                0.78556,                 1.0878,                0.78412,                0.89745,                0.88109,                0.54701,                 1.2238,                 1.0314,                 1.6131,              0.0011213,              0.0011213,              0.0011213
                     54,                0.73228,                0.71627,                 1.0558,                0.79802,                0.86429,                0.89831,                0.54456,                 1.3562,                 1.0047,                 1.7828,              0.0011188,              0.0011188,              0.0011188
                     55,                0.76679,                0.74059,                 1.0746,                0.79513,                0.82496,                0.84559,                0.49229,                 1.4952,                 1.1645,                 1.8146,              0.0011164,              0.0011164,              0.0011164
                     56,                0.75978,                0.74082,                 1.0728,                0.68861,                0.81769,                0.80572,                0.46984,                 1.5947,                 1.2351,                 1.8711,              0.0011139,              0.0011139,              0.0011139
                     57,                0.76803,                0.75485,                 1.0832,                0.65385,                0.76042,                0.79763,                0.44979,                 1.5224,                  1.308,                  1.827,              0.0011114,              0.0011114,              0.0011114
                     58,                0.74841,                0.73553,                 1.0664,                0.70783,                0.66965,                0.73297,                0.45684,                 1.3646,                 1.2471,                 1.7633,              0.0011089,              0.0011089,              0.0011089
                     59,                0.74863,                0.72585,                 1.0806,                0.78874,                0.63815,                 0.6867,                0.41639,                 1.3853,                 1.3051,                 1.7577,              0.0011065,              0.0011065,              0.0011065
                     60,                0.73675,                0.69963,                 1.0636,                0.65448,                 0.6441,                 0.7483,                0.40846,                 1.6072,                 1.3601,                 1.9427,               0.001104,               0.001104,               0.001104
                     61,                0.75645,                0.71312,                 1.0901,                0.50497,                0.60776,                0.59562,                 0.3771,                 1.4191,                 1.4125,                 1.7331,              0.0011015,              0.0011015,              0.0011015
                     62,                0.74177,                0.71985,                 1.0782,                0.58826,                0.63803,                 0.6307,                0.40649,                 1.3899,                 1.5815,                 1.7417,               0.001099,               0.001099,               0.001099
                     63,                0.74103,                0.71561,                 1.0751,                0.63225,                0.63234,                0.64292,                 0.4249,                 1.2517,                 1.3396,                  1.625,              0.0010965,              0.0010965,              0.0010965
                     64,                0.74944,                 0.7122,                 1.0784,                0.73351,                0.81669,                0.81505,                0.51496,                 1.3289,                0.98597,                 1.7357,              0.0010941,              0.0010941,              0.0010941
                     65,                0.74848,                0.67979,                 1.0574,                0.77687,                0.82858,                0.81453,                0.52066,                  1.396,                 1.0568,                 1.6979,              0.0010916,              0.0010916,              0.0010916
                     66,                0.73765,                0.68375,                 1.0545,                0.80181,                0.67567,                0.79265,                0.47835,                 1.5738,                 1.1966,                 1.8553,              0.0010891,              0.0010891,              0.0010891
                     67,                0.73467,                0.67707,                 1.0625,                0.79071,                0.58929,                 0.7687,                0.47405,                 1.3772,                 1.4202,                 1.6764,              0.0010866,              0.0010866,              0.0010866
                     68,                0.73814,                0.68772,                 1.0511,                 0.8489,                0.69096,                 0.7859,                0.51627,                 1.2827,                 1.3364,                  1.648,              0.0010842,              0.0010842,              0.0010842
                     69,                0.71048,                0.66433,                 1.0481,                0.89401,                0.73474,                 0.8048,                0.52515,                 1.2257,                  1.203,                 1.6142,              0.0010817,              0.0010817,              0.0010817
                     70,                0.73935,                0.68322,                 1.0546,                0.62221,                0.76035,                0.77537,                0.48526,                 1.2964,                 1.1043,                 1.6809,              0.0010792,              0.0010792,              0.0010792
                     71,                0.72884,                0.66375,                 1.0527,                0.59754,                0.81647,                0.81204,                0.47411,                 1.4341,                 1.1414,                 1.8427,              0.0010768,              0.0010768,              0.0010768
                     72,                0.71425,                0.68193,                 1.0441,                0.52302,                0.79689,                0.70064,                0.41817,                 1.4739,                 1.0949,                  1.987,              0.0010743,              0.0010743,              0.0010743
                     73,                0.73643,                0.67284,                 1.0666,                0.59381,                0.77783,                0.80632,                0.46906,                  1.342,                 1.2532,                 1.6938,              0.0010718,              0.0010718,              0.0010718
                     74,                0.72604,                0.67295,                 1.0673,                0.71789,                0.78679,                0.87405,                0.51489,                 1.3013,                 1.0992,                 1.5979,              0.0010693,              0.0010693,              0.0010693
                     75,                0.68821,                0.65152,                 1.0396,                0.79191,                0.80744,                0.84563,                0.52699,                 1.2685,                0.94034,                 1.5868,              0.0010669,              0.0010669,              0.0010669
                     76,                0.72502,                0.64736,                 1.0574,                0.78335,                0.84994,                0.85809,                0.56137,                 1.2191,                0.93312,                 1.5517,              0.0010644,              0.0010644,              0.0010644
                     77,                0.71325,                0.65894,                 1.0436,                0.75375,                0.76185,                0.75376,                0.46146,                 1.2766,                 1.1836,                 1.6271,              0.0010619,              0.0010619,              0.0010619
                     78,                0.67629,                0.64023,                  1.037,                0.80211,                0.78045,                0.77451,                 0.4731,                 1.3493,                 1.0707,                 1.7607,              0.0010594,              0.0010594,              0.0010594
                     79,                0.71277,                0.66575,                  1.064,                0.73028,                0.86455,                0.84664,                0.56411,                 1.3179,                 1.0146,                 1.6691,               0.001057,               0.001057,               0.001057
                     80,                0.71083,                0.65486,                 1.0465,                0.86389,                0.74011,                0.83237,                0.51393,                 1.5406,                0.96444,                 1.8727,              0.0010545,              0.0010545,              0.0010545
                     81,                0.69403,                0.63218,                 1.0352,                0.74845,                0.78924,                0.85754,                0.48934,                 1.4783,                 1.2144,                 1.7972,               0.001052,               0.001052,               0.001052
                     82,                0.70592,                0.62782,                 1.0393,                0.78601,                0.63225,                0.72669,                0.38997,                 1.4495,                 1.2916,                 1.7557,              0.0010495,              0.0010495,              0.0010495
                     83,                0.65272,                 0.5996,                 1.0108,                0.80444,                0.77753,                0.79584,                0.46234,                 1.5435,                 1.0605,                 1.9486,               0.001047,               0.001047,               0.001047
                     84,                0.69075,                0.60909,                  1.036,                0.86892,                0.85224,                0.86974,                0.48152,                 1.2915,                 1.0529,                 1.6025,              0.0010446,              0.0010446,              0.0010446
                     85,                 0.6545,                0.60052,                 1.0159,                0.82475,                0.76312,                0.81028,                0.45876,                 1.4661,                 1.1931,                 1.7515,              0.0010421,              0.0010421,              0.0010421
                     86,                0.67401,                0.60422,                 1.0359,                0.83121,                0.84072,                0.84773,                0.49979,                 1.3993,                0.94463,                 1.6887,              0.0010396,              0.0010396,              0.0010396
                     87,                0.67277,                0.60104,                 1.0416,                0.76632,                0.78036,                0.80476,                0.50627,                 1.3043,                 1.0161,                 1.5515,              0.0010372,              0.0010372,              0.0010372
                     88,                0.66618,                0.62188,                 1.0534,                0.86086,                0.72642,                0.79802,                0.49702,                 1.3035,                0.93677,                 1.5593,              0.0010347,              0.0010347,              0.0010347
                     89,                0.69892,                0.62017,                 1.0557,                0.81434,                0.72667,                0.83364,                0.52546,                 1.2644,                0.95743,                 1.6475,              0.0010322,              0.0010322,              0.0010322
                     90,                0.68962,                 0.6189,                 1.0648,                0.72137,                0.79096,                0.77143,                0.49743,                 1.2103,                0.91982,                 1.6179,              0.0010297,              0.0010297,              0.0010297
                     91,                0.67912,                0.62211,                 1.0367,                0.77721,                 0.8061,                0.88629,                0.55185,                 1.2216,                0.89111,                 1.6335,              0.0010273,              0.0010273,              0.0010273
                     92,                0.67473,                0.61791,                 1.0431,                0.80152,                 0.8292,                0.89339,                0.56794,                 1.1872,                0.88245,                 1.5425,              0.0010248,              0.0010248,              0.0010248
                     93,                0.65747,                0.61663,                 1.0326,                0.70508,                0.77679,                0.77069,                0.49265,                 1.1937,                 1.1173,                 1.6135,              0.0010223,              0.0010223,              0.0010223
                     94,                0.65378,                0.61252,                 1.0372,                0.69881,                0.67679,                0.73333,                0.48473,                 1.2925,                 1.1747,                  1.753,              0.0010198,              0.0010198,              0.0010198
                     95,                  0.647,                0.59798,                  1.008,                0.71072,                0.65211,                 0.7508,                 0.4915,                 1.3603,                  1.034,                 1.7737,              0.0010173,              0.0010173,              0.0010173
                     96,                0.64649,                0.58453,                 1.0112,                0.61412,                0.78957,                0.76677,                0.49198,                 1.3343,                 1.0317,                 1.7013,              0.0010149,              0.0010149,              0.0010149
                     97,                0.66113,                0.62802,                 1.0359,                0.69276,                0.84791,                0.84059,                0.54903,                 1.2817,                0.98675,                 1.6325,              0.0010124,              0.0010124,              0.0010124
                     98,                 0.6311,                 0.5893,                 1.0096,                0.59927,                 0.9125,                0.77479,                0.51703,                 1.2172,                  1.189,                 1.5118,              0.0010099,              0.0010099,              0.0010099
                     99,                0.64228,                0.57225,                 1.0178,                 0.8236,                0.72314,                0.83685,                0.53293,                 1.3226,                 1.0733,                 1.7121,              0.0010075,              0.0010075,              0.0010075
                    100,                0.64275,                0.58587,                 1.0176,                0.76288,                0.76429,                0.84992,                0.55021,                 1.3995,                 1.0194,                 1.6861,               0.001005,               0.001005,               0.001005
                    101,                0.62423,                0.56823,                 1.0089,                0.82911,                0.81943,                0.86608,                0.58165,                 1.3947,                 0.9524,                 1.7394,              0.0010025,              0.0010025,              0.0010025
                    102,                 0.6379,                0.56935,                 1.0171,                0.82932,                0.86343,                 0.9245,                 0.5819,                 1.4484,                0.94774,                 1.7966,                  0.001,                  0.001,                  0.001
                    103,                 0.6311,                 0.5644,                 1.0157,                0.79043,                 0.8757,                0.86583,                0.54309,                 1.4107,                0.97819,                 1.7559,             0.00099755,             0.00099755,             0.00099755
                    104,                0.62157,                0.55966,                 1.0054,                0.78089,                0.73929,                0.76214,                 0.4341,                 1.6016,                 1.0976,                  2.108,             0.00099507,             0.00099507,             0.00099507
                    105,                0.64844,                0.57523,                 1.0321,                0.77806,                0.73929,                0.79069,                0.46561,                 1.4606,                 1.0675,                  2.036,              0.0009926,              0.0009926,              0.0009926
                    106,                0.67613,                0.62112,                 1.0424,                0.78943,                0.70794,                0.77352,                0.47617,                 1.4585,                 1.0681,                 1.8745,             0.00099013,             0.00099013,             0.00099013
                    107,                0.63886,                0.59327,                 1.0038,                0.81662,                0.81215,                0.84037,                0.55282,                 1.2056,                 1.0205,                 1.6312,             0.00098765,             0.00098765,             0.00098765
                    108,                0.64384,                0.57055,                 1.0244,                0.82538,                0.70813,                0.85672,                0.62174,                 1.0609,                0.86731,                 1.4658,             0.00098518,             0.00098518,             0.00098518
                    109,                0.62138,                0.56271,                 1.0275,                0.75619,                0.65536,                0.75503,                0.52722,                 1.1698,                 1.1611,                 1.5827,              0.0009827,              0.0009827,              0.0009827
                    110,                0.64288,                0.56347,                 1.0265,                 0.7146,                0.64186,                0.73869,                0.45912,                 1.2884,                 1.1908,                 1.6843,             0.00098022,             0.00098022,             0.00098022
                    111,                0.63773,                0.56787,                  1.027,                0.73746,                0.87574,                0.82738,                0.49256,                 1.3343,                0.97257,                 1.7698,             0.00097775,             0.00097775,             0.00097775
                    112,                0.62428,                0.54932,                 1.0172,                0.63948,                0.66607,                0.67862,                0.39353,                 1.4018,                 1.2241,                 1.8366,             0.00097528,             0.00097528,             0.00097528
